id,code,city_id/id,name
state_city.res_state_kecamatan170,res_state_kecamatan170,state_city.res_state_city11,Simpang Kramat (Keramat)
state_city.res_state_kecamatan171,res_state_kecamatan171,state_city.res_state_city11,Syamtalira Aron
state_city.res_state_kecamatan172,res_state_kecamatan172,state_city.res_state_city11,Syamtalira Bayu
state_city.res_state_kecamatan173,res_state_kecamatan173,state_city.res_state_city11,Tanah Jambo Aye
state_city.res_state_kecamatan174,res_state_kecamatan174,state_city.res_state_city11,Tanah Luas
state_city.res_state_kecamatan175,res_state_kecamatan175,state_city.res_state_city11,Tanah Pasir
state_city.res_state_kecamatan176,res_state_kecamatan176,state_city.res_state_city12,Baiturrahman
state_city.res_state_kecamatan177,res_state_kecamatan177,state_city.res_state_city12,Banda Raya
state_city.res_state_kecamatan178,res_state_kecamatan178,state_city.res_state_city12,Jaya Baru
state_city.res_state_kecamatan179,res_state_kecamatan179,state_city.res_state_city12,Kuta Alam
state_city.res_state_kecamatan180,res_state_kecamatan180,state_city.res_state_city12,Kuta Raja
state_city.res_state_kecamatan181,res_state_kecamatan181,state_city.res_state_city12,Lueng Bata
state_city.res_state_kecamatan182,res_state_kecamatan182,state_city.res_state_city12,Meuraxa
state_city.res_state_kecamatan183,res_state_kecamatan183,state_city.res_state_city12,Syiah Kuala
state_city.res_state_kecamatan184,res_state_kecamatan184,state_city.res_state_city12,Ulee Kareng
state_city.res_state_kecamatan185,res_state_kecamatan185,state_city.res_state_city13,Bandar
state_city.res_state_kecamatan186,res_state_kecamatan186,state_city.res_state_city13,Bener Kelipah
state_city.res_state_kecamatan187,res_state_kecamatan187,state_city.res_state_city13,Bukit
state_city.res_state_kecamatan188,res_state_kecamatan188,state_city.res_state_city13,Gajah Putih
state_city.res_state_kecamatan189,res_state_kecamatan189,state_city.res_state_city13,Mesidah
state_city.res_state_kecamatan190,res_state_kecamatan190,state_city.res_state_city13,Permata
state_city.res_state_kecamatan191,res_state_kecamatan191,state_city.res_state_city13,Pintu Rime Gayo
state_city.res_state_kecamatan192,res_state_kecamatan192,state_city.res_state_city13,Syiah Utama
state_city.res_state_kecamatan193,res_state_kecamatan193,state_city.res_state_city13,Timang Gajah
state_city.res_state_kecamatan194,res_state_kecamatan194,state_city.res_state_city13,Wih Pesam
state_city.res_state_kecamatan195,res_state_kecamatan195,state_city.res_state_city14,Ganda Pura
state_city.res_state_kecamatan196,res_state_kecamatan196,state_city.res_state_city14,Jangka
